dataset,model,signal,coverage,selective_accuracy,risk
CADEC,Llama3-OpenBioLLM-8B,combined,0.35,0.747103274559194,0.252896725440806
CADEC,Llama3-OpenBioLLM-8B,combined,0.3,0.7519106407995297,0.24808935920047026
CADEC,Llama3-OpenBioLLM-8B,combined,0.25,0.7581100141043724,0.2418899858956276
CADEC,Llama3-OpenBioLLM-8B,combined,0.2,0.746031746031746,0.25396825396825395
CADEC,Llama3-OpenBioLLM-8B,combined,0.15,0.763807285546416,0.23619271445358403
CADEC,Llama3-OpenBioLLM-8B,combined,0.1,0.781305114638448,0.21869488536155202
CADEC,Llama3-OpenBioLLM-8B,entropy,1.0,0.42212030340448053,0.5778796965955195
CADEC,Llama3-OpenBioLLM-8B,entropy,0.95,0.42703304864463426,0.5729669513553657
CADEC,Llama3-OpenBioLLM-8B,entropy,0.9,0.42935528120713307,0.5706447187928669
CADEC,Llama3-OpenBioLLM-8B,entropy,0.85,0.43266237808673996,0.56733762191326
CADEC,Llama3-OpenBioLLM-8B,entropy,0.8,0.43694885361552027,0.5630511463844797
CADEC,Llama3-OpenBioLLM-8B,entropy,0.75,0.44002822201317027,0.5599717779868297
CADEC,Llama3-OpenBioLLM-8B,entropy,0.7,0.4446963970773495,0.5553036029226506
CADEC,Llama3-OpenBioLLM-8B,entropy,0.65,0.4496607869742198,0.5503392130257803
CADEC,Llama3-OpenBioLLM-8B,entropy,0.6,0.4570840681951793,0.5429159318048207
CADEC,Llama3-OpenBioLLM-8B,entropy,0.55,0.4634381013470173,0.5365618986529828
CADEC,Llama3-OpenBioLLM-8B,entropy,0.5,0.46807760141093474,0.5319223985890653
CADEC,Llama3-OpenBioLLM-8B,entropy,0.45,0.475705329153605,0.5242946708463949
CADEC,Llama3-OpenBioLLM-8B,entropy,0.4,0.4757495590828924,0.5242504409171076
CADEC,Llama3-OpenBioLLM-8B,entropy,0.35,0.48161209068010075,0.5183879093198993
CADEC,Llama3-OpenBioLLM-8B,entropy,0.3,0.4773662551440329,0.522633744855967
CADEC,Llama3-OpenBioLLM-8B,entropy,0.25,0.4844851904090268,0.5155148095909732
CADEC,Llama3-OpenBioLLM-8B,entropy,0.2,0.49206349206349204,0.5079365079365079
CADEC,Llama3-OpenBioLLM-8B,entropy,0.15,0.48531139835487663,0.5146886016451233
CADEC,Llama3-OpenBioLLM-8B,entropy,0.1,0.49029982363315694,0.5097001763668431
CADEC,Llama3-OpenBioLLM-8B,mapping_confidence,1.0,0.42212030340448053,0.5778796965955195
CADEC,Llama3-OpenBioLLM-8B,mapping_confidence,0.95,0.4435573709617527,0.5564426290382474
CADEC,Llama3-OpenBioLLM-8B,mapping_confidence,0.9,0.4681559866745052,0.5318440133254948
CADEC,Llama3-OpenBioLLM-8B,mapping_confidence,0.85,0.4957460053953102,0.5042539946046898
